"8 SIDOR","15759997"
"GEFLEBORGS LÄNS TIDNING (1889)","0f4kdkj8xlwqxsdb"
"GEFLEBORGS LÄNS TIDNING VECKOUPPLAGA","cshxr2p89v2bq123"
"GEFLEPOSTEN (1859)","p4t83hx2m9scps9x"
"GEFLEPOSTEN (1864)","9qxp9pm073wrd1c7"
"GEFLEPOSTEN VECKOUPPLAGAN, TIDNING FÖR GEFLEBORGS LÄN","8p2rd36q6hzk2hpk"
"GEFLETIDNINGEN","q3x3wxzjn76ptn7g"
"GELLIVAREBLADET, NYHETS- OCH ANNONSTIDNING FÖR GELLIVARE, MALMBERGET OCH KRINGLIGGANDE BYGD","19n7wxthzfmpz1rt"
"GENGÅNGAREN","5f01hkb03xrtt2ps"
"GESTRIKLAND, NYHETS- OCH ANNONSTIDNING","2h6mgzb40lxvpr5n"
"GEVALIA, VÄGVISARE I GEFLE","zb5b3tn0w3lh5pxx"
"GIFTERMÅLSTIDNINGEN","hr6b5gdtf3rbnh2p"
"GLUNTEN","0865fz1qxk7sj8hn"
"GNESTA TIDNING","9kfl8klg71s2xg5v"
"GNISTAN (BORÅS : 1895)","brgwrbd78h47wz6z"
"GOTLAND","s7l9ztf9q2c2w09t"
"GOTLANDS ALLEHANDA","15873241"
"GOTLANDS LÄNS NYA TIDNING","8mgmhvsr6rv85l42"
"GOTLANDS LÄNS TIDNING","ht6wdj34ffgt7jjr"
"GOTLANDS TIDNING (1859)","kxrxs8plhpb9zx4s"
"GOTLANDS TIDNING (1867)","11653799"
"GOTLANDS TIDNINGAR","15873259"
"GOTLANDSPOSTEN","kxrxsckshg2bhq0h"
"GOTLÄNNINGEN","4hxvllh92046zcd1"
"GRANSKAREN (MALMÖ : 1886)","9khgsxlb7bf3s1n7"
"GRANSKAREN (STOCKHOLM : 1820)","fxc1rx8dcm5qkzq4"
"GREBBESTADSPOSTEN","0c1h894nxzlrxw4l"
"GRENNA NYHETER OCH ANNONSBLAD","z92vdgbxws74jpm9"
"GRENNA TIDNING","t3np592hr4njw7gk"
"GRENNAPOSTEN (GRÄNNA : 1891), TIDNING FÖR GRENNA, VISINGSÖ OCH ÖFRIGA VISTA HÄRAD","zd3jd1v5wzzhqqd3"
"GRIPEN (MALMÖ : 1850)","s4zv7gt0qxbjft66"
"GRIPEN (MARIEFRED : 1866)","hxm2xn2pf3rcvq3b"
"GRIPEN (SÖDERTÄLJE : 1880)","t5xq7q5xrxgsr876"
"GRYTHYTTE TIDNING","p49c4nmmm12p09wr"
"GRÄSTORPSTIDNINGEN","gthzqtcwdsh1q51z"
"GULD","v5rcghg6shzhvqvv"
"GÄSTRIKLANDS TIDNING","15873337"
"GÅRDAKURIREN","5js2hjnb38ht3pxd"
"GÖTA","22688448"
"GÖTA LEJON, TIDNING FÖR GÖTEBORG OCH ANGRÄNSANDE LÄN","xc2hc60vvmt23gvc"
"GÖTEBORG","5l9qlvdw3qlmbbrv"
"GÖTEBORGDIREKT CENTRUM","2gkkc2mj0xzmq0km"
"GÖTEBORGDIREKT MAJORNA-LINNÉ","q4770gk5n78mhjzx"
"GÖTEBORGS ADRESSTIDNING","l1q51fr9jb49zqvq"
"GÖTEBORGS AFFÄRSMÄNS NOTERINGAR","mwvns6k1k3j5kw4f"
"GÖTEBORGS AFTONBLAD (1888)","2647969"
"GÖTEBORGS AFTONBLAD (1923), DAGLIG TIDNING FÖR GÖTEBORGS STAD OCH VÄSTRA SVERIGE","20792273"
"GÖTEBORGS AFTONBLAD (1938)","20792299"
"GÖTEBORGS ALLEHANDA (1880)","n3s74v6hl1hp5w4t"
"GÖTEBORGS ANNONSBLAD","r1fdgjfxp99fj1tv"
"GÖTEBORGS ANNONSTIDNING","1g5lhb1vzt44cb7t"
"GÖTEBORGS DAGBLAD (1894)","jvmfz3bdg1v2731w"
"GÖTEBORGS DAGBLAD (1918)","20792444"
"GÖTEBORGS FRIA TIDNING","15873350"
"GÖTEBORGS HANDELS- OCH SJÖFARTSTIDNING (1832)","19225758"
"GÖTEBORGS HYRESLISTA","dr64vzkkbdjcsbst"
"GÖTEBORGS KOMMUNIKATIONER","n2lfc68dl27bhxdf"
"GÖTEBORGS MARKNADSBERÄTTELSE (1880)","xc2hd9stvzbsm757"
"GÖTEBORGS MARKNADSBERÄTTELSE (1886), TIDNING FÖR KÖPMÄN","hx90nppwf29bhqjg"
"GÖTEBORGS MORGONPOST","9qwzqhb8752nwn8z"
"GÖTEBORGS NYHETER (1884), TIDNING FÖR HANDEL, NYHETER OCH POLITIK","6mbrnndn4ns2scmn"
"GÖTEBORGS NYHETER (1892)","3jlkf4c61gwjmljd"
"GÖTEBORGS OCH BOHUS ALLMÄNNA LÄNSTIDNING","3f60jqkz13mt0pb8"
"GÖTEBORGS VECKOTIDNING","4kmlg9x02p4g6zxc"
"GÖTEBORGS WECKOBLAD (1867)","cqkqhm4f9v75fvvn"
"GÖTEBORGS WECKOBLAD (1875)","11653801"
"GÖTEBORGSKURIREN (1890), VESTRA SVERIGES ALLMÄNNA NYHETS- OCH ANNONSBLAD","r6kb9rtbpgrjv692"
"GÖTEBORGSPOSTEN","15873371"
"GÖTEBORGSTIDNINGEN (1902)","8pdtrgrp6n5hx3lh"
"GÖTEBORGSTIDNINGEN (1902-1967)","08gt5gslx86s2vmk"
"GÖTEBORGSTIDNINGEN DAGBLADET","v8dx4jhgsxcmt9zg"
"GÖTENE TIDNING","15873575"
"GÖTHA RUNOR","22576788"
"GÖTHEBORGS ALLEHANDA","19225772"
"GÖTHEBORGS BÖRSUNDERRÄTTELSER","8m9fc7mf6f8w4mch"
"GÖTHEBORGS DAGBLAD (GÖTEBORG : 1828)","22576816"
"GÖTHEBORGS DAGBLAD (GÖTEBORG : 1848 )","22576838"
"GÖTHEBORGS LÖRDAGSBLAD","22576865"
"GÖTHEBORGS OCH BOHUS LÄNS TIDNING","22576874"
"GÖTHEBORGS STADSTIDNING OCH DAGLIGA ANNONSBLAD","22576888"
"GÖTHEBORGS TIDNINGAR","22576914"
"GÖTHEBORGS WECKOLISTA","11653803"
"GÖTHEBORGS ÅTTONDE HANDELS- OCH SJÖFARTSTIDNING, DAGLIGT ANNONSBLAD OCH SKEPPSLISTA","5j6b86cl3cc64s9v"
"GÖTHEBORGSBLADET","22576962"
"GÖTHEBORGSKA NYHETER","19225792"
"GÖTHEBORGSPOSTEN (GÖTEBORG : 1813)","22576918"
"GÖTHEBORGSPOSTEN (GÖTEBORG : 1850), TIDNING FÖR HANDEL, SJÖFART, INDUSTRI OCH NÄRINGAR","bpflv3mm8fj8kf1w"
"GÖTHEN","22576928"
"HP & PT : HÄRRYDA-POSTEN PARTILLE TIDNING","2bw3n40w0g61651s"
"HAAPARANNANLEHTI","22692630"
"HALLAND","p0dpndstm1j2p20v"
"HALLANDS ALLEHANDA, TIDNING FÖR HALLANDS LÄN","dp3dc6pxbtjzj7nc"
"HALLANDS ALLMÄNNA LÄNSTIDNING","bm1bbmzs8gsn5brm"
"HALLANDS LÄNS TIDNING (HALMSTAD : 1824)","22647335"
"HALLANDS LÄNS TIDNING (HALMSTAD : 1825)","22618157"
"HALLANDS NYHETER","15873620"
"HALLANDS TIDNING","lw9ll0v7j4ldgg76"
"HALLANDSPOSTEN","15873871"
"HALLANDSPOSTEN (HALMSTAD : 1850)","kt3l1snwhwcfs0dp"
"HALLÄNDINGEN (HALMSTAD : 1903), TIDNINGEN HALLANDS HALFVECKOUPPLAGA","dp6b8r5qbsdwg2pp"
"HALLÄNDINGEN (VARBERG : 1888)","r2grr9nwp7j30pm4"
"HALLÄNDSKA TIDNINGEN","22647366"
"HALLÅ HELSINGBORG","16930836"
"HALLÅ HÖGANÄS","16930960"
"HALLÅ KÄVLINGE/LÖDDE","17818275"
"HALLÅ LANDSKRONA","16930967"
"HALLÅ LOMMA/BJÄRRED","17818281"
"HALLÅ LUND","19273295"
"HALLÅ MALMÖ","19273299"
"HALLÅ VELLINGE/HÖLLVIKEN","17818282"
"HALLÅ VÄSTRA MALMÖ","19273301"
"HALLÅ ÄNGELHOLM","16930972"
"HALMSTAD 7 DAGAR","15873896"
"HALMSTADS TIDNING (1811)","q03r15n0nb34nrc1"
"HALMSTADSBLADET","3h93726d1t5dkvq4"
"HANDELS TIDNING","cncldqjf9tq6c9xh"
"HANDELS TIDNING FRÅN GEFLE","22572522"
"HANDELSARBETAREN, FACKTIDNING FÖR SVENSKA VARUUTKÖRARE- OCH HANDELSARBETARFÖRBUNDET","7nt0w0qz5xpprjsj"
"HANDELSNYTT (PRINT), HANDELSARBETAREN : ORGAN FÖR SVENSKA HANDELSARBETAREFÖRBUNDET","s7dkhv7jq04tsqfw"
"HANDELSTIDNINGENS VECKOBLAD (1859)","8k18nl2q63ktssjz"
"HANDELSTIDNINGENS VECKOBLAD (1896)","fq6ftvhxc5jnw61r"
"HANDTVERKS- OCH INDUSTRI-TIDNING","mwzt1xxpk74xz2cb"
"HAPARANDABLADET, HAAPARANNANLEHTI","15873939"
"HEDEMORA TIDNING","t3z4sc5zrl9334vw"
"HEDEMORAPOSTEN, NYHETS- OCH ANNONSTIDNING FÖR SÖDRA DALARNES STÄDER OCH BYGD","z7dm1336w2w4qc2f"
"HELA SVERIGE, ALLMÄN VECKOTIDNING FÖR SVENSKA FOLKET","mxggr5vck5wn25s4"
"HELSI, TIDNING FÖR HELSINGLAND","r125zk4zp8t6xvt7"
"HELSINGBORGS DAGBLAD","15873963"
"HELSINGBORGS TIDNING","fq2mh458cqj1m7ck"
"HELSINGBORGSPOSTEN","22598372"
"HELSINGBORGSPOSTEN SKÅNE HALLAND","gwzxsr4vdvvpl6xt"
"HELSINGBORGSPOSTEN SKÅNE HALLAND HALVVECKOUPPLAGAN","jzb32n2fgstnpr4m"
"HELSINGBORGSPOSTEN SKÅNE HALLAND VECKOUPPLAGA","v9nfdf54sb03q034"
"HELSINGBORGSTIDNINGEN SKÅNES ALLEHANDA (1881)","v66m840wspb6qfh2"
"HELSINGBORGSTIDNINGEN SKÅNES ALLEHANDA (1885), DAGLIG AFTONTIDNING","q4mt7dxxng2lg5pz"
"HELSINGEN (SÖDERHAMN : 1857)","cmnrk8fm9f8485sl"
"HELSINGEN (SÖDERHAMN : 1882)","w5694vh4t3lk3nhk"
"HELSINGLANDS WECKOBLAD, HUDIKSVALLSPOSTENS VECKOUPPLAGA","bnnd1lpv8636nn2b"
"HELSOVÄNNEN, TIDSKRIFT FÖR ALLMÄN OCH ENSKILD HELSOVÅRD","9qbkk0v87ztnwl3s"
"HEMBYGDEN, VECKOTIDNING FÖR GESTRIKLAND MED NÄRGRÄNSANDE ORTER","dnt2gfmqb88fng96"
"HEMFRID, VECKOTIDNING FÖR HEMMET","hs6gxv3rfhp5gwrz"
"HEMLANDET, POLITISK VECKOTIDNING PÅ SANT KRISTLIG GRUNDVAL","6hw5mn7n41xpxj5k"
"HEMLANDSPOSTEN","t4js8cfvrft4dkxm"
"HEMLANDSPOSTEN HALFVECKOUPPLAGA","p0dn497rmmcg9w5v"
"HEMLANDSVÄNNEN, NYHETS- OCH MISSIONSBLAD FÖR SVENSKA FOLKET","mxbl29jwkk71q6bj"
"HEMMANSEGAREN","r2gq7vw8pxnkxjr8"
"HEMMETS TIDNING (STOCKHOLM : 1894)","2cr1hsnn0t10xsg5"
"HEMMETS VÄN, EVANGELISK LUTHERSK VECKOTIDNING","dp3cvmt3b65txsrh"
"HERMODER, TIDNING FÖR CALMAR LÄN","fp89r0jgc1j66vqd"
"HERNÖSANDS LÄNS KRÖNIKA","fq4dwq51cpzmg25c"
"HERRGÅRDSBLADET, ILLUSTRERAD SVENSK LANDTBRUKS-ADRESSBOK","09r3pqfwxlk3nshc"
"HESSLEHOLMS TIDNING (KRISTIANSTAD : 1889)","dp3cvr6pbvr85qcw"
"HJO WECKOTIDNING","22692595"
"HJO TIDNING","15874068"
"HJO TIDNING (HJO : 1847)","22692594"
"HJULSPORT, TIDNING FÖR SVERIGES VELOCIPEDRYTTARE","p4x78grbmx2sf38v"
"HOTELLTIDNING","9l6s07937611wg1k"
"HUDDINGE DIREKT","21551197"
"HUDIKSVALLS ALLEHANDA","mzglf9h7kgcp4jnp"
"HUDIKSVALLS NYHETER","x8rwqpdzvqwljlv2"
"HUDIKSVALLS TIDNING","15874101"
"HUDIKSVALLSPOSTEN","nzmfb1psllx1z2pz"
"HUDIKSVALLSTIDNINGEN","20792470"
"HUDIKSWALLS WECKOBLAD","n0tq4t67ltm314qw"
"HUFVUDSTADSBLADET","v46289xcsns5v99t"
"HULTSFREDS TIDNING","s3mmxdgzqkgqdsr9"
"HULTSFREDSPOSTEN","jtd61zk5gxk41xsn"
"HVAD HAR HÄNDT","4gddszsg2h8rpj8h"
"HVAD HAR HÄNDT (1856), VECKOBLAD FÖR LULEÅ STAD","6gtd38tk4dh3xwr6"
"HVAD HAR HÄNDT (UMEÅ : 1847)","19vwcn47zkdzg6jt"
"HVAD NYTT (EKSJÖ : 1843), EKSJÖ TIDNING","22543123"
"HVAD NYTT FRÅN STOCKHOLM","7hx2vzmp532ckmmk"
"HVAD NYTT I DAG, SAMMANDRAGEN UPPLAGA AF STOCKHOLMSTIDNINGEN","kzlsgkndhz39mh6m"
"HVAR 8 DAG","22549199"
"HVARDAGSNISSE, ILLUSTRERAD SKÄMTTIDNING","fq88kp4vcdg2fgnp"
"HVARJEHANDA (STOCKHOLM : 1869), VECKOTIDNING FÖR SKÄMT OCH ALLVAR","htrr5wwwf8hnbxgr"
"HVARJEHANDA (STOCKHOLM : 1885)","dp77jqvfb8nfp273"
"HVETLANDA TIDNING","n38b32w2lmzd1fsz"
"HWAD NYTT","22576920"
"HYRESLISTA, UTGIFVEN AF UTSTÄLLNINGENS INQVARTERINGSBYRÅ","9kmhptgv75sp979m"
"HYRESLISTAN (NORRKÖPING : 1892), ANNONSTIDNING FÖR NORRKÖPING","bnll1l6q813q4q0k"
"HYRESTIDNINGEN","ktwrz5bpht22m7cf"
"HÄFTEN FÖR KRITISKA STUDIER","t6l1d0nfr9nkfbm9"
"HÄRJEDALEN (ÖSTERSUND : 1944)","15874118"
"HÄRNÖSANDSPOSTEN","19277063"
"HÄROLDEN (GÖTEBORG : 1876)","z977nbw1wds74hcw"
"HÄRRYDAPOSTEN","15975085"
"HÄSSELBY TIDNING","17644160"
"HÄSSELBYDIREKT","r23xd72hpjfd7bbb"
"HÖGANÄS & KULLENS TIDNING","kwtt8zdmhmkpkqtq"
"HÖGANÄS TIDNING","22552304"
"HÖGANÄSPOSTEN","9mkkzvcs7hbtvz7g"
"HÖGLANDET NU","17617344"
"HÖRBY DAGBLAD (1902)","p0jjtczbmr9qwvjn"
"HÖRBYPOSTEN CENTRALSKÅNE","r2v60gjkplkw242j"
"HÖRBYTIDNINGEN ( LUND : 1892)","dp77kcpjbj7n14hp"
"HÖRBYTIDNINGEN (LUND : 1891)","mzwwb465k55kndn1"
"I DAG (GÖTEBORG : 1990)","cm2tg3tt96n3wc9t"
"IDROTTSBLADET","xd5zc8xlv9675dlt"
"ILBUDET","22683133"
"ILLUSTRERAD LANDTBRUKSTIDNING","pxlr0d40m8t3z7l6"
"ILLUSTRERADT ALLEHANDA","6g4xbwm64j2fhfm1"
"ILLUSTRERADT HVAD NYTT","5f3w90z8331rr62d"
"INBLICK (ÄLMHULT)","5p6tz24338pg23w7"
"INDUSTRIBLADET","w5tm2v99tb54z3sx"
"INRIKES TIDNINGAR","11653806"
"INTERNATIONELL TEATERREVY","bl82hd3186mkvbx6"
"JEMTLAND, VECKOBLAD AF ÖSTERSUNDSPOSTEN","jtg0d5rpgkln56sw"
"JEMTLANDS TIDNING","3ddtqlb61z7bhshz"
"JERNVÄGS OCH ÅNGBÅTSTIDNING","fpqw9b2ccqgngxl6"
"JERNVÄGS ÅNGBÅTS & HOTELLTIDNING","dnt2f5mzbcr463vf"
"JERNVÄGSMÄNNENS TIDNING","httk6tx9fz3jppn8"
"JORDBRUKARENS TIDNING","frpp3wqwcd4hc7s5"
"JORDEMODERN","1g4rsk7bzq6gf3db"
"JORDEN RUNDT (STOCKHOLM : 1879)","z99qcblhwtlhj41m"
"JORDEN RUNDT (STOCKHOLM : 1889)","2cww6g1m0g4cmxhc"
"JOURNAL FÖR SVENSK LITTERATUR","tbrf63tdrm6l1cl6"
"JOURNALEN","n5l8135zln76nr28"
"JUSTITIA","n00f2335lzn6zpgs"
"JÄMTLANDS ALLEHANDA","3ff5shmj16n30j47"
"JÄMTLANDS LÄNS ANNONSBLAD","0bbrdj3lxckvjnsp"
"JÄMTLANDS TIDNING (ÖSTERSUND : 1895)","5hhxkr3x3bzvl276"
"JÄMTLANDS TIDNING (ÖSTERSUND : 2015)","18392496"
"JÄMTLANDS VECKOBLAD","frrh4wr2cwkm52gj"
"JÄMTLANDSKURIREN","t55l7gnxr5bncb3w"
"JÄMTLANDSPOSTEN","20792507"
"JÄRFÄLLA TIDNING","17644572"
"JÄRFÄLLADIREKT","5ghbsnmf3rpr9bg5"
"JÄRNBÄRARLAND","9l44frbk71tmkmmr"
"JÖNKÖPING","4fzz95762nbtz70s"
"JÖNKÖPING NU","15975086"
"JÖNKÖPINGS ALLAHANDA (JÖNKÖPING : 1797)","22665225"
"JÖNKÖPINGS ALLEHANDA (JÖNKÖPING : 1778)","22647378"
"JÖNKÖPINGS DAGBLAD","4gg6tn822j9gjj9q"
"JÖNKÖPINGS TIDNING","22576971"
"JÖNKÖPINGSBLADET","11653809"
"JÖNKÖPINGSPOSTEN","15975087"
"JÖNKÖPINGSTIDNINGEN","mxggsp6xkf0q5j4b"
"JÖRGENS STOCKHOLMSBREF DAGLIGA NYHETSUPPLAGAN FÖR LANDSORTEN","x7q44kxbvjq4g9zr"
"JÖRGENS STOCKHOLMSBREF VECKOUPPLAGAN","cn5kcnvp9q016z7r"
"KALMAR","11653811"
"KALMAR LÄNS TIDNING (1846)","kwqm1v9nhwj7sch8"
"KALMAR LÄNS TIDNING (1948)","15975088"
"KALMARBLADET","hsbbm7s1fnc1mcwm"
"KALMARPOSTEN","15975089"
"KALMARSUNDSPOSTEN, SMÅLANDS MED ÖLANDS ANNONS OCH TJÄNSTEBLAD","1bvv5t18zv9znvbd"
"KANALEN (2016), I ÖSTERÅKER OCH VAXHOLM","19980795"
"KANALEN (2024), LOKALTIDNINGEN I ÖSTERÅKER","6q2r7b9c4wj1f8c1"
"KAPTEN PUFF, TIDNING FÖR SKÄMT OCH ALLVAR","5g4xr14v381gz9sb"
"KARLSHAMN","k0p42z77h40xd5d4"
"KARLSHAMNS ALLEHANDA","15975090"
"KARLSKOGA ALLEHANDA","22683215"
"KARLSKOGA TIDNING","15975091"
"KARLSKOGA TIDNING KURIREN","3g2lznd517mbf9d8"
"KARLSKOGAKURIREN (KARLSKOGA : 1988)","15975255"
"KARLSKOGAPOSTEN","22683217"
"KARLSKRONA WECKOBLAD","19349359"
"KARLSKRONAPOSTEN","p0jjvt3kmlnmwnp5"
"KARLSTADSKURIREN","kvddpdddh4mcwm8x"
"KARLSTADSTIDNINGEN","15975929"
"KARLSTADSTIDNINGEN VECKOUPPLAGAN","6jp2rgfc4x06q6xg"
"KATRINEHOLMS TIDNING","fqd63vr9cx999bv2"
"KATRINEHOLMSKURIREN","15976825"
"KEMISK TIDSKRIFT (1969), SVENSK KEMISK TIDSKRIFT, KEMITEKNIK","x9kztg5rvf3nz1tw"
"KEMISK TIDSKRIFT (2019)","q3f56nrsnhd333w9"
"KEMISK TIDSKRIFT, KEMIVÄRLDEN, NORDENS STÖRSTA KEMITIDNING","3gqrj4hp1qt40n8m"
"KEMISKA NOTISER","lz6twx0djskkpf1t"
"KEMIVÄRLDEN, BIOTECH, KEMISK TIDSKRIFT","7lv0fnl75qbp8mwk"
"KEMIVÄRLDEN, MED KEMISK TIDSKRIFT : AUTOMATION, LÄKEMEDEL, KEMI, CELLULOSA, LIVSMEDEL","r4djp54gpwmggk16"
"KINDA TIDNING (VIMMERBY : 1885)","22683227"
"KINDA TIDNING (VIMMERBY : 1899)","22683228"
"KINDAPOSTEN (KISA : 2018)","s1pbxzprqjtmjstf"
"KINDAPOSTEN (VIMMERBY : 1894)","22683244"
"KIRUNABLADET","22683258"
"KISA WECKOBLAD","22683268"
"KISAPOSTEN","22683247"
"KISATIDNINGEN","22683254"
"KISTADIREKT","q12wc856n8vr00f6"
"KLARAN","22683269"
"KLIPPAREN, OPARTISKT MÅNADSBLAD MED SAXHUGG UR HELA SVENSKA PRESSEN","22683276"
"KLÄM","2h3x8s0c0qfz3cx4"
"KNIVSTABYGDEN","15977858"
"KOMMUNALBLADET","fqd62hjqchs41fpb"
"KOMMUNEN, TIDNING FÖR ÖSTERGÖTLANDS ARBETAREPARTI","22683280"
"KONGSBACKA ALLEHANDA","22683157"
"KONGSBACKA ANNONSBLAD","22683163"
"KORRESPONDENTEN","22683287"
"KRETSVÄNNEN, TIDNING FÖR LUTHERSKA KRISTNA","22683299"
"KRING STANDARET","22683303"
"KRISTIANSTADS ALLEHANDA. DAGUPPLAGAN (1875)","q1kkwz0dn127499w"
"KRISTIANSTADS ALLEHANDA. HALVVECKOUPPLAGAN (1872 )","5g1t2bxv3szn5xx8"
"KRISTIANSTADS LÄNS TIDNING","t55l7lsqr12j9932"
"KRISTIANSTADSBLADET","15978012"
"KRISTIANSTADSBLADETS VECKOUPPLAGA","htt8wbxzfz8p8lrv"
"KRISTIANSTADSKURIREN","t68kcx99rcqqbf1c"
"KRISTINEHAMNSTIDNINGEN","22683306"
"KRITIKEN","22683174"
"KRONOBERGS LÄNS TIDNING (VÄXJÖ : 1837)","22683308"
"KRONOBERGS LÄNS TIDNING (VÄXJÖ : 1870)","22683312"
"KRONOBERGS LÄNS VECKOTIDNING","22683319"
"KRÖNIKAN (GÖTEBORG : 1901)","22683187"
"KUNGSBACKANYTT","15978115"
"KUNGSBACKAPOSTEN","15978272"
"KUNGSBACKATIDNINGEN","s3jb101nq52ndzhn"
"KUNGSHOLMEN","2csl92f10l8dj9px"
"KUNGSHOLMENDIREKT","q12wc95mn7m1z58g"
"KUNGSÖRS TIDNING","7jzrghpq5cqx1t6m"
"KUNGÄLVSPOSTEN","15979096"
"KUNGÖRAREN","cn3wlf219zjchd21"
"KURIREN (UPPSALA : 1883)","4fvncgwz2j9lskzz"
"KUSTBLADET","nzd6w3hpl5pq66bs"
"KVÄLLEN, SÖNDAGSAFTONTIDNING","8k0sg354655zxrn0"
"KVÄLLSPOSTEN","15979163"
"KÄMPEN, TIDNING FÖR EKSJÖ, SÄFSJÖ OCH HVETLANDA MED KRINGLIGGANDE ORTER SAMT FÖR ÖFRIGA HELA SVERIGE","x7ng5g94v2m0p27r"
"KÄVLINGE NYA LOKALTIDNING","15984792"
"KÖPINGS TIDNING","22683325"
"KÖPINGSPOSTEN","22683330"
"LOKALPRESSEN ALINGSÅS","7r7zw5185nq23s9s"
"LAHOLM NU","zjfjktmhwdr47tl5"
"LAHOLMS NYA TIDNING","p0hzd5cqmj64w5nq"
"LAHOLMS TIDNING (1877)","7j1hxrjp5rfc86jh"
"LAHOLMS TIDNING (1931)","15979325"
"LAHOLMS TIDNING (2019)","096hdh43xj70gmk6"
"LANDETS FRIA TIDNING","15979392"
"LANDSKRONA","4fxdtqpw2p91h9q9"
"LANDSKRONA TIDNING","r1w5ktzzp9v5xlsc"
"LANDSKRONAKURIREN","w6p5lk4qtpcrl7xx"
"LANDSKRONAPOSTEN","15979539"
"LANDTBRUKSMÖTETS FEST- OCH PROGRAMBLAD","1bt76kxkz63zgrbt"
"LANDTMANNABLADET AFTONBLADETS BILAGA FÖR ODLING OCH NÄRINGSFLIT","r2kzxdjcpxkmq1r6"
"LANDTMANNENS ANNONSBILAGA","3dwrk1pw1z2vszs9"
"LANDTMANNENS ANNONSBLAD","w6p3wg3kt93cx5h9"
"LANDTMANSBLADET","7j1f7wjn5kszxj61"
"LANTERNAN, ORGAN FÖR SVERIGES TULLMANNAFÖRENING","p0hwwm92mdkkqm61"
"LAPPARNES EGEN TIDNING, TIDNINGSORGAN FÖR LAPPARNES CENTRALFÖRBUND","l5l6z3f6j1nbc0v5"
"LEDIGA TJENSTER, ANNONSBLAD FÖR SVERIGES ÄMBETS- OCH TJENSTEMÄN","cms03f609zg7p61b"
"LEDSTJÄRNAN, RELIGIÖS- POLITISK VECKOTIDNING FÖR ALLA HEM","hs9pph9pf4zpplsp"
"LEKSANDSTIDNINGEN","v5n4klj5szdjqvrw"
"LERUMS TIDNING (1982)","15981873"
"LIBERACIÓN","15981902"
"LIDINGÖ TIDNING (1994)","15981918"
"LIDKÖPINGS ALLEHANDA","22683375"
"LIDKÖPINGS TIDNING (LIDKÖPING : 1842)","22683391"
"LIDKÖPINGS TIDNING (LIDKÖPING : 1881)","22683382"
"LILLA BÖRSTIDNINGEN","w6vnkwg5t60tv85p"
"LILLA EDETS TIDNING (GÖTEBORG : 1890)","8j6z4z6s684b02c3"
"LIMHAMNSBLADET","nzl4j67zl6tq2bmq"
"LINDESBERG, TIDNING FÖR LINDESBERGS STAD, LINDES, RAMSBERGS OCH NYA KOPPARBERGS BERGSLAGER","s3l2hm8xq3g2njjs"
"LINDESBERGS ALLEHANDA","11653813"
"LINDESBERGSPOSTEN","q1j0fmcznx6krh0h"
"LINDESPOSTEN (GÖTEBORG : 1879)","w6p3tj1vt90g0xdj"
"LINDESPOSTEN (LINDESBERG : 1888)","1bt9r03mzj3d5vdg"
"LINKÖPINGS ALLEHANDA","cmhr7wfl9p5f8nb1"
"LINKÖPINGS TIDNING (LINKÖPING : 1833)","lvssq04zjvvjcnmp"
"LINKÖPINGS TIDNING (LINKÖPING : 1859)","q1j0grtpnv9c8rjd"
"LINKÖPINGS TIDNING KINDAPOSTEN","15982023"
"LINKÖPINGS WECKOTIDNINGAR","mwr1h8l0ks7m8870"
"LINKÖPINGSBLADET","cmhr0zkl9z2105jh"
"LINKÖPINGSPOSTEN","15982078"
"LINKÖPINGSÖSTGÖTEN","9ldqj3p87m17s5fp"
"LISTERBLADET","5gzfwfgb3b5wbsr4"
"LJUNGBYKURIREN","1bt9rfg3zm0pcdp9"
"LJUNGBYPOSTEN (1878)","22692617"
"LJUNGBYPOSTEN (1906)","3dwctkqs16f426fh"
"LJUSDALS NYHETER","dp6n5cjsbzfbdj7c"
"LJUSDALS TIDNING","7j1h19705lk19mfh"
"LJUSDALSPOSTEN (HUDIKSVALL : 1899), VECKOTIDNING FÖR HÄLSINGLAND OCH HÄRJEDALEN","x7q6pz32vt9mss66"
"LJUSDALSPOSTEN (LJUSDAL : 1914)","15982141"
"LJUSNAN","15982211"
"LOKALPRESSEN BACKA KÄRRA","6rxg1l6r4hs3vcwm"
"LOKALPRESSEN HISINGEN, FÖR CENTRALA HISINGEN OCH ÄLVSTRANDEN","cx54v4d49x29sq3s"
"LOKALPRESSEN HÄRRYDA","hv6kqgh7fkmszq28"
"LOKALPRESSEN LERUM","r4gt0s87pb388sth"
"LOKALPRESSEN PARTILLE","lz9ntqplj8c2j3qj"
"LOKALPRESSEN SYDVÄST, TIDNING FÖR BILLDAL, HOVÅS, ASKIM, EKLANDA","tdbg07f2r84qk1bs"
"LOKALT I","fvnbh87xcj05q3sv"
"LOKALTIDNINGEN ALVESTA","15983136"
"LOKALTIDNINGEN BURLÖV","15984448"
"LOKALTIDNINGEN BÅSTAD","15984503"
"LOKALTIDNINGEN COMMERSEN","15984510"
"LOKALTIDNINGEN HALMSTAD","15984534"
"LOKALTIDNINGEN HELSINGBORG","15984577"
"LOKALTIDNINGEN HÄSSLEHOLM","15984616"
"LOKALTIDNINGEN HÖGANÄS","15984656"
"LOKALTIDNINGEN KRISTIANSTAD","15984742"
"LOKALTIDNINGEN KÄVLINGE","19153473"
